Year,Week,Away,Home,Winner,Jonathan,Mark,Tim,Bruce,Chance,Teddy,Jerry,Bookey,Josh,Doodle,Var,Moe,Boo,Scott,Benny boy,Quan,Markie,Troy,Gary,Frankie,T Hurd,Chrispy,Nicholas,Maurice,Jake,CJ,Daric
2010,1,ARZ,STL,ARZ,ARZ,ARZ,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,ATL,PIT,PIT,PIT,ATL,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,BAL,NYJ,NYJ,BAL,NYJ,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,BUF,MIA,MIA,BUF,MIA,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,CAR,NYG,NYG,NYG,NYG,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,CHI,DET,CHI,CHI,CHI,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,CIN,NE,NE,NE,NE,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,CLE,TB,TB,TB,CLE,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,DAL,WASH,WASH,DAL,WASH,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,DEN,JAX,JAX,DEN,JAX,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,GB,PHI,GB,GB,PHI,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,HOU,IND,HOU,IND,IND,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,KC,SD,KC,KC,SD,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,MIN,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,OAK,TEN,TEN,TEN,TEN,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1,SF,SEA,SEA,SF,SF,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,ATL,ARZ,ATL,ATL,ATL,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,BAL,CIN,CIN,CIN,BAL,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,BUF,GB,GB,GB,GB,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,CAR,TB,TB,CAR,CAR,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,CHI,DAL,CHI,DAL,CHI,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,CLE,KC,KC,KC,CLE,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,DEN,SEA,DEN,DEN,DEN,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,DET,PHI,PHI,DET,DET,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,HOU,WASH,HOU,HOU,HOU,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,IND,NYG,IND,IND,IND,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,JAX,SD,SD,SD,SD,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,MIA,MIN,MIA,MIN,MIN,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,NE,NYJ,NYJ,NYJ,NYJ,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,NO,SF,NO,SF,SF,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,OAK,STL,OAK,OAK,OAK,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,PIT,TEN,PIT,PIT,TEN,,,,,,,,,,,,,,,,,,,,,,,,,
2010,3,OAK,ARZ,ARZ,OAK,ARZ,,,,,,,,,,,,,,,,,,,,,,,,,
