conference_name,current_conference_name,conference_start_year,conference_end_year,division_name,current_division_name,division_start_year,division_end_year,team_city,team_nickname,team_abbreviation,team_start_year,team_end_year,current_team_abbreviation
AFC,AFC,2010,,East,East,2010,,Buffalo,Bills,BUF,2010,,BUF
AFC,AFC,2010,,East,East,2010,,Miami,Dolphins,MIA,2010,,MIA
AFC,AFC,2010,,East,East,2010,,New York,Jets,NYJ,2010,,NYJ
AFC,AFC,2010,,East,East,2010,,New England,Patriots,NE,2010,,NE
AFC,AFC,2010,,North,North,2010,,Baltimore,Ravens,BAL,2010,,BAL
AFC,AFC,2010,,North,North,2010,,Pittsburgh,Steelers,PIT,2010,,PIT
AFC,AFC,2010,,North,North,2010,,Cincinnati,Bengals,CIN,2010,,CIN
AFC,AFC,2010,,North,North,2010,,Cleveland,Browns,CLE,2010,,CLE
AFC,AFC,2010,,South,South,2010,,Indianapolis,Colts,IND,2010,,IND
AFC,AFC,2010,,South,South,2010,,Houston,Texans,HOU,2010,,HOU
AFC,AFC,2010,,South,South,2010,,Tennessee,Titans,TEN,2010,,TEN
AFC,AFC,2010,,South,South,2010,,Jacksonville,Jaguars,JAX,2010,,JAX
AFC,AFC,2010,,West,West,2010,,Denver,Broncos,DEN,2010,,DEN
AFC,AFC,2010,,West,West,2010,,Kansas City,Chiefs,KC,2010,,KC
AFC,AFC,2020,,West,West,2020,,Las Vegas,Raiders,LV,2020,,LV
AFC,AFC,2010,2019,West,West,2010,2019,Oakland,Raiders,OAK,2010,2019,LV
AFC,AFC,2017,,West,West,2017,,Los Angeles,Chargers,LAC,2017,,LAC
AFC,AFC,2010,2016,West,West,2010,2016,San Diego,Chargers,SD,2010,2016,LAC
NFC,NFC,2010,,East,East,2010,,Philadelphia,Eagles,PHI,2010,,PHI
NFC,NFC,2010,,East,East,2010,,New York,Giants,NYG,2010,,NYG
NFC,NFC,2010,,East,East,2010,,Washington,Redskins,WASH,2010,,WASH
NFC,NFC,2010,,East,East,2010,,Dallas,Cowboys,DAL,2010,,DAL
NFC,NFC,2010,,North,North,2010,,Green Bay,Packers,GB,2010,,GB
NFC,NFC,2010,,North,North,2010,,Chicago,Bears,CHI,2010,,CHI
NFC,NFC,2010,,North,North,2010,,Minnesota,Vikings,MIN,2010,,MIN
NFC,NFC,2010,,North,North,2010,,Detroit,Lions,DET,2010,,DET
NFC,NFC,2010,,South,South,2010,,New Orleans,Saints,NO,2010,,NO
NFC,NFC,2010,,South,South,2010,,Carolina,Panthers,CAR,2010,,CAR
NFC,NFC,2010,,South,South,2010,,Tampa Bay,Buccaneers,TB,2010,,TB
NFC,NFC,2010,,South,South,2010,,Atlanta,Falcons,ATL,2010,,ATL
NFC,NFC,2010,,West,West,2010,,San Francisco,49ers,SF,2010,,SF
NFC,NFC,2010,,West,West,2010,,Seattle,Seahawks,SEA,2010,,SEA
NFC,NFC,2010,,West,West,2010,,Arizona,Cardinals,ARZ,2010,,ARZ
NFC,NFC,2016,,West,West,2016,,Los Angeles,Rams,LAR,2016,,LAR
NFC,NFC,2010,2015,West,West,2010,2015,St. Louis,Rams,STL,2010,2015,LAR
